detect_date,oil,probable_oil,possible_oil,other,wind,oil_other,iso3
2017-02-01,16,0,0,3,0,19,HRV
2017-02-01,409,19,42,50,0,459,IDN
2017-02-01,168,3,31,15,0,183,IND
2017-02-01,3,0,2,5,7,8,IRL
2017-02-01,159,1,0,2,0,161,IRN
2017-02-01,1,0,0,8,0,9,IRQ
2017-02-01,0,0,1,0,0,0,ISL
2017-02-01,4,0,2,0,0,4,ISR
2017-02-01,104,6,3,4,0,108,ITA
2017-02-01,0,0,0,2,0,2,JEY
2017-02-01,19,5,33,30,0,49,JPN
2017-02-01,0,0,3,0,0,0,KEN
2017-02-01,3,0,2,4,0,7,KHM
2017-02-01,4,0,59,48,1,52,KOR
2017-02-01,34,0,0,36,0,70,KWT
2017-02-01,0,0,1,0,0,0,LBN
2017-02-01,0,0,2,0,0,0,LBR
2017-02-01,12,0,2,0,0,12,LBY
2017-02-01,0,0,4,3,0,3,LKA
2017-02-01,1,0,0,0,0,1,LTU
2017-02-01,0,0,1,0,0,0,LVA
2017-02-01,0,0,1,0,0,0,MDG
2017-02-01,194,2,10,0,0,194,MEX
2017-02-01,5,1,13,5,0,10,MMR
2017-02-01,0,0,0,3,0,3,MOZ
2017-02-01,1,0,4,0,0,1,MRT
2017-02-01,258,22,72,24,0,282,MYS
2017-02-01,12,0,0,0,0,12,NAM
2017-02-01,426,2,1,1,0,427,NGA
2017-02-01,0,0,4,1,0,1,NIC
2017-02-01,111,11,1,4,292,115,NLD
2017-02-01,13,0,0,7,1,20,NOR
2017-02-01,7,0,1,4,0,11,NZL
2017-02-01,18,0,14,1,0,19,None
2017-02-01,6,0,1,0,0,6,OMN
2017-02-01,0,0,1,0,0,0,PAK
2017-02-01,0,0,5,0,0,0,PAN
2017-02-01,91,1,3,4,0,95,PER
2017-02-01,6,0,7,3,0,9,PHL
2017-02-01,3,0,1,1,0,4,PNG
2017-02-01,9,3,0,4,3,13,POL
2017-02-01,0,0,1,0,0,0,PRI
2017-02-01,0,0,3,4,0,4,PRK
2017-02-01,0,0,1,0,0,0,PRT
2017-02-01,166,0,3,0,0,166,QAT
2017-02-01,8,0,0,0,0,8,ROU
2017-02-01,10,2,3,2,0,12,RUS
2017-02-01,626,29,6,1,0,627,SAU
2017-02-01,1,0,3,0,0,1,SDN
2017-02-01,2,0,1,0,0,2,SEN
2017-02-01,0,0,0,4,0,4,SLE
2017-02-01,0,0,2,1,0,1,SOM
