X1,X2,X3,X4
Elba Island LNG Terminal and Plant USA,12400000,United States of America,Georgia
Sabine Pass LNG Liquification Plant USA,13500000,United States of America,Louisiana
Lake Charles LNG Termina and Plant USA,17300000,United States of America,Louisiana
Cameron LNG Terminal and Plant USA,15000000,United States of America,Louisiana
Dominion Cove Point LNG Terminal and Plant USA,11000000,United States of America,Maryland
Everett Distrigas LNG Terminal USA,,United States of America,Massachusetts
Northeast Gatewway LNG Terminal USA,3000000,United States of America,Massachusetts
Gulf LNG Terminal USA,,United States of America,Mississippi
Corpus Christi Liqueficiation Plant USA,22500000,United States of America,Texas
Golden Pass LNG Terminal USA,,United States of America,Texas
Freeport LNG Terminal and Plant USA,13200000,United States of America,Texas
Yemen LNG Plant Yemen,7200000,Yemen,Shabwah
